date,time,method,puzzle,discoveredSolution,identical,providedSolution
2023-10-28,23:01:43,Cake algorithm,007300054245080900003040070070960000000020760000801002008294016609108020000007003,295743861431865927876192543387459216612387495549216738763524189928671354154938672,False,N/A
2023-11-19,20:29:45,Cake algorithm,007300054245080900003040070070960000000020760000801002008294016609108020000007003,295743861431865927876192543387459216612387495549216738763524189928671354154938672,False,N/A
2023-11-19,20:34:41,Cake algorithm,007300054245080900003040070070960000000020760000801002008294016609108020000007003,295743861431865927876192543387459216612387495549216738763524189928671354154938672,False,N/A
2023-11-19,20:35:58,Cake algorithm,007300054245080900003040070070960000000020760000801002008294016609108020000007003,295743861431865927876192543387459216612387495549216738763524189928671354154938672,False,N/A
2023-11-19,20:36:00,Cake algorithm,007300054245080900003040070070960000000020760000801002008294016609108020000007003,295743861431865927876192543387459216612387495549216738763524189928671354154938672,False,N/A
2023-11-19,21:24:51,R&B,070000043040009610800634900094052000358460020000800530080070091902100005007040802,679518243543729618821634957794352186358461729216897534485276391962183475137945862,True,679518243543729618821634957794352186358461729216897534485276391962183475137945862
2023-11-19,21:24:51,R&B,301086504046521070500000001400800002080347900009050038004090200008734090007208103,371986524846521379592473861463819752285347916719652438634195287128734695957268143,True,371986524846521379592473861463819752285347916719652438634195287128734695957268143
2023-11-19,21:24:51,R&B,048301560360008090910670003020000935509010200670020010004002107090100008150834029,748391562365248791912675483421786935589413276673529814834962157296157348157834629,True,748391562365248791912675483421786935589413276673529814834962157296157348157834629
2023-11-19,21:24:51,R&B,008317000004205109000040070327160904901450000045700800030001060872604000416070080,298317645764285139153946278327168954981453726645792813539821467872634591416579382,True,298317645764285139153946278327168954981453726645792813539821467872634591416579382
2023-11-19,21:24:51,R&B,040890630000136820800740519000467052450020700267010000520003400010280970004050063,142895637975136824836742519398467152451328796267519348529673481613284975784951263,True,142895637975136824836742519398467152451328796267519348529673481613284975784951263
2023-11-19,21:24:51,R&B,561092730020780090900005046600000427010070003073000819035900670700103080000000050,561492738324786195987315246659831427418279563273564819135928674746153982892647351,True,561492738324786195987315246659831427418279563273564819135928674746153982892647351
2023-11-19,21:24:51,R&B,310450900072986143906010508639178020150090806004003700005731009701829350000645010,318457962572986143946312578639178425157294836284563791425731689761829354893645217,True,318457962572986143946312578639178425157294836284563791425731689761829354893645217
2023-11-19,21:24:51,R&B,800134902041096080005070010008605000406310009023040860500709000010080040000401006,867134952241596783395872614978625431456318279123947865534769128619283547782451396,True,867134952241596783395872614978625431456318279123947865534769128619283547782451396
2023-11-19,21:24:51,R&B,165293004000001632023060090009175000500900018002030049098000006000000950000429381,165293874974851632823764195489175263536942718712638549398517426241386957657429381,True,165293874974851632823764195489175263536942718712638549398517426241386957657429381
2023-11-19,21:24:51,R&B,000003610000015007000008090086000700030800100500120309005060904060900530403701008,728493615349615827651278493186539742932847156574126389815362974267984531493751268,True,728493615349615827651278493186539742932847156574126389815362974267984531493751268
2023-11-19,21:24:51,R&B,405001068073628500009003070240790030006102005950000021507064213080217050612300007,425971368173628594869543172241795836736182945958436721597864213384217659612359487,True,425971368173628594869543172241795836736182945958436721597864213384217659612359487
2023-11-19,21:24:51,R&B,960405100020060504001703006100004000490130050002007601209006038070218905600079000,968425173723861594541793286157684329496132857832957641219546738374218965685379412,True,968425173723861594541793286157684329496132857832957641219546738374218965685379412
2023-11-19,21:24:51,R&B,904520070001890240002643000070960380000108700600000010090080000000750030000312569,984521673361897245752643891175964382429138756638275914593486127216759438847312569,True,984521673361897245752643891175964382429138756638275914593486127216759438847312569
2023-11-19,21:24:51,R&B,001408006093520741000010520602080300007060000005039060064052109020000654500607083,251478936893526741476913528642185397937264815185739462364852179728391654519647283,True,251478936893526741476913528642185397937264815185739462364852179728391654519647283
2023-11-19,21:24:51,R&B,007300054245080900003040070070960000000020760000801002008294016609108020000007003,867319254245786931913542678472963185381425769596871342738294516659138427124657893,True,867319254245786931913542678472963185381425769596871342738294516659138427124657893
2023-11-19,21:24:51,R&B,005346170000000050000800009502930741070000003000700020090050632207600400600420007,925346178786291354341875269562938741174562983839714526498157632217683495653429817,True,925346178786291354341875269562938741174562983839714526498157632217683495653429817
2023-11-19,21:24:51,R&B,320090400705021800001060372218037009500480700000005000670000280000873900804000107,326798451745321896981564372218637549569482713437915628673149285152873964894256137,True,326798451745321896981564372218637549569482713437915628673149285152873964894256137
2023-11-19,21:24:51,R&B,000030007480960501063570820009610203350097006000005094000000005804706910001040070,925831467487962531163574829749618253352497186618325794276189345834756912591243678,True,925831467487962531163574829749618253352497186618325794276189345834756912591243678
2023-11-19,21:24:51,R&B,087002010204017003006800705508001000640008100002050670439180007020900030700023091,987532416254617983316849725578261349643798152192354678439185267821976534765423891,True,987532416254617983316849725578261349643798152192354678439185267821976534765423891
2023-11-19,21:24:51,R&B,040000008760020349000470500900000030000036702308947000000004010200700603690001000,149653278765128349832479561976512834451836792328947156583264917214795683697381425,True,149653278765128349832479561976512834451836792328947156583264917214795683697381425
2023-11-19,21:24:51,R&B,007009050040000930059740080000016790083000002710000000830060020000395018605020070,367289451248651937159743286524816793983574162716932845831467529472395618695128374,True,367289451248651937159743286524816793983574162716932845831467529472395618695128374
2023-11-19,21:24:51,R&B,620740100070100052508000370067300900090000060800970031002000006000800000450002003,623745198974138652518269374267381945391524867845976231782493516136857429459612783,True,623745198974138652518269374267381945391524867845976231782493516136857429459612783
2023-11-19,21:24:51,R&B,627140503345206971089503602000700364793054018460008059056031097971005836834067105,627149583345286971189573642518792364793654218462318759256831497971425836834967125,True,627149583345286971189573642518792364793654218462318759256831497971425836834967125
2023-11-19,21:24:51,R&B,720890500390460100000217890809002000204008000105049287610000028080020915950701040,721893564398465172546217893869572431274138659135649287613954728487326915952781346,True,721893564398465172546217893869572431274138659135649287613954728487326915952781346
2023-11-19,21:24:51,R&B,803700000026000004097100203705000908901070040038401567170950800680210435352846000,813724659526389174497165283745632918961578342238491567174953826689217435352846791,True,813724659526389174497165283745632918961578342238491567174953826689217435352846791
2023-11-19,21:24:51,R&B,206007905345092018000850060000509000708000450004083126420060580571200094860000200,286317945345692718197854362612549873738126459954783126423961587571238694869475231,True,286317945345692718197854362612549873738126459954783126423961587571238694869475231
2023-11-19,21:24:51,R&B,700000000400708061100296847000001400801000030090600075080010006007052394935467010,768145923429738561153296847576321489841579632392684175284913756617852394935467218,True,768145923429738561153296847576321489841579632392684175284913756617852394935467218
2023-11-19,21:24:51,R&B,900000002010060390083900100804095007130670049060041000302010050000500000541080030,956134782417268395283957164824395617135672849769841523372416958698523471541789236,True,956134782417268395283957164824395617135672849769841523372416958698523471541789236
2023-11-19,21:24:51,R&B,005000060000006302040081597012038754000200810087014000120007680000092030954860200,375429168891756342246381597612938754439275816587614923123547689768192435954863271,True,375429168891756342246381597612938754439275816587614923123547689768192435954863271
2023-11-19,21:24:51,R&B,709000100421000050300700008100000302908320000002070809070530400090000675000600093,789256134421893756365714928157968342948321567632475819276539481893142675514687293,True,789256134421893756365714928157968342948321567632475819276539481893142675514687293
2023-11-19,21:24:51,R&B,001300002079000000020670903000967300750001049080503100040702530205806700107405060,861359472379124856524678913412967385753281649986543127648792531235816794197435268,True,861359472379124856524678913412967385753281649986543127648792531235816794197435268
2023-11-19,21:24:51,R&B,600017400401003008059800721120000050000040800008020100004530007700090086263170000,682917435471253968359864721127389654536741892948625173894536217715492386263178549,True,682917435471253968359864721127389654536741892948625173894536217715492386263178549
2023-11-19,21:24:51,R&B,800005047040008500000000630000000490590040002072006305980000273067804051030070000,829365147643718529751492638318527496596143782472986315984651273267834951135279864,True,829365147643718529751492638318527496596143782472986315984651273267834951135279864
2023-11-19,21:24:51,R&B,400000070060850240000301065049078500007032008280009430120703004700010000006200009,415926873963857241872341965349178526657432198281569437128793654794615382536284719,True,415926873963857241872341965349178526657432198281569437128793654794615382536284719
2023-11-19,21:24:51,R&B,500000260024086000807152300000600703003400006700098120030800600072000481000070000,519734268324986517867152349481625793293417856756398124135849672972563481648271935,True,519734268324986517867152349481625793293417856756398124135849672972563481648271935
2023-11-19,21:24:51,R&B,604001035003450001521900000069807104250014007410090006000060010000039070070140503,694281735783456921521973648369827154258614397417395286835762419146539872972148563,True,694281735783456921521973648369827154258614397417395286835762419146539872972148563
2023-11-19,21:24:51,R&B,420796050300280497879004612690005201538400009010369004983647025006150000100020346,421796853365281497879534612694875231538412769712369584983647125246153978157928346,True,421796853365281497879534612694875231538412769712369584983647125246153978157928346
2023-11-19,21:24:51,R&B,080000090090502000003001408007090630000000001650020000900300080310040970002879013,586437192194582367723961458247198635839654721651723849975316284318245976462879513,True,586437192194582367723961458247198635839654721651723849975316284318245976462879513
2023-11-19,21:24:51,R&B,005020040007090318106840070510000693300000700074230001050764189040001002081902030,835127946427695318196843275512478693368519724974236851253764189749381562681952437,True,835127946427695318196843275512478693368519724974236851253764189749381562681952437
2023-11-19,21:24:51,R&B,000000065004056701070813940006005490500690000009042000062504179000000030000000628,198427365234956781675813942826175493543698217719342856362584179987261534451739628,True,198427365234956781675813942826175493543698217719342856362584179987261534451739628
2023-11-19,21:24:51,R&B,790048060125976300040305720980657413007100856001000007006002135009701000010500000,793248561125976384648315729982657413437129856561834297876492135359781642214563978,True,793248561125976384648315729982657413437129856561834297876492135359781642214563978
2023-11-19,21:24:51,R&B,290800300000000046786500200020000100100009482647000903875200004310645700009008000,294816375531927846786534219928453167153769482647182953875291634312645798469378521,True,294816375531927846786534219928453167153769482647182953875291634312645798469378521
2023-11-19,21:24:51,R&B,180023000942500008060010092209840000608395040300067850806000027407002900001700004,185923476942576138763418592259841763678395241314267859896154327437682915521739684,True,185923476942576138763418592259841763678395241314267859896154327437682915521739684
2023-11-19,21:24:51,R&B,908260351500094872002010409003000084154083007020000905760100040009006000001005090,948267351516394872372518469693752184154983627827641935765139248289476513431825796,True,948267351516394872372518469693752184154983627827641935765139248289476513431825796
2023-11-19,21:24:51,R&B,950064037046081059001539080034106070865000020090028000500612000613470090000890005,958264137346781259721539486234156978865947321197328564589612743613475892472893615,True,958264137346781259721539486234156978865947321197328564589612743613475892472893615
2023-11-19,21:24:51,R&B,070620509029400000680570000300000000806750093000086005000000170064030000005004032,471623589529418367683579421357942816846751293192386745938265174264137958715894632,True,471623589529418367683579421357942816846751293192386745938265174264137958715894632
2023-11-19,21:24:51,R&B,790400801100780090000910402975821046000000785006504000207090034300200908009100627,793452861124786593658913472975821346412369785836574219287695134361247958549138627,True,793452861124786593658913472975821346412369785836574219287695134361247958549138627
2023-11-19,21:24:51,R&B,600502000450093700030684090203800560001000002007025010005036400320750601976418053,619572348458193726732684195293841567541967832867325914185236479324759681976418253,True,619572348458193726732684195293841567541967832867325914185236479324759681976418253
2023-11-19,21:24:51,R&B,870500060010000207640180509000001000120006075008072006000605008000004000904008621,879523164315469287642187539467851392123946875598372416231695748786214953954738621,True,879523164315469287642187539467851392123946875598372416231695748786214953954738621
2023-11-19,21:24:51,R&B,032104070500300002000625000080061020007402608201780054640000030098003700723056001,832194576516378492479625183384561927957432618261789354645817239198243765723956841,True,832194576516378492479625183384561927957432618261789354645817239198243765723956841
2023-11-19,21:24:51,R&B,480060001103008526065700080058200010004080300021679005006023907510946008009800000,482365791173498526965712483758234619694581372321679845846123957517946238239857164,True,482365791173498526965712483758234619694581372321679845846123957517946238239857164
2023-11-19,21:24:51,R&B,030074096600398700008061340053007009400059070096002084000023600310040000862000437,135274896624398751978561342253487169481659273796132584549723618317846925862915437,True,135274896624398751978561342253487169481659273796132584549723618317846925862915437
2023-11-19,21:24:51,R&B,000001000003006097061037500000709800830040001000020006740008610300060052000900003,287591364453286197961437528624719835839645271175823946742358619398164752516972483,True,287591364453286197961437528624719835839645271175823946742358619398164752516972483
2023-11-19,21:24:51,R&B,001002003004000900296015048560008197009000054700950300400187600010500402900020005,871492563354876921296315748563248197189763254742951386425187639618539472937624815,True,871492563354876921296315748563248197189763254742951386425187639618539472937624815
2023-11-19,21:24:51,R&B,003060005792051400006200009268719054030026978000000601050103090029004000800002003,483967215792351486516248739268719354135426978947835621654173892329584167871692543,True,483967215792351486516248739268719354135426978947835621654173892329584167871692543
2023-11-19,21:24:51,R&B,049003825500709106361025007600590084800004309190370562008000691415986273970130450,749613825582749136361825947623591784857264319194378562238457691415986273976132458,True,749613825582749136361825947623591784857264319194378562238457691415986273976132458
2023-11-19,21:24:51,R&B,026853700000000000053040096240076810319005460600134020064397180708502604002060079,926853741471629358853741296245976813319285467687134925564397182798512634132468579,True,926853741471629358853741296245976813319285467687134925564397182798512634132468579
2023-11-19,21:24:51,R&B,468050702273140509009002463001860000090030001030000600980501200327600104016324908,468953712273146589159782463741869325695237841832415697984571236327698154516324978,True,468953712273146589159782463741869325695237841832415697984571236327698154516324978
2023-11-19,21:24:51,R&B,000009038000005004350700091000400000407500020060020805500900006840001070036040009,674219538192385764358764291285436917417598623963127845521973486849651372736842159,True,674219538192385764358764291285436917417598623963127845521973486849651372736842159
2023-11-19,21:24:51,R&B,604300090210079064905014270450003900000001000008000000032700080890206010506000000,674382591213579864985614273451863927769421358328957146132745689897236415546198732,True,674382591213579864985614273451863927769421358328957146132745689897236415546198732
